"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"315",13,"Cam Little",JAC,"K13","21","212","373","287.4","44.1","-"
"316",13,"Tre Tucker",LV,"WR118","24","200","372","287.9","49.6","-"
"317",13,"Kansas City Chiefs",KC,"DST12","-","149","324","268.5","40.5","-"
"318",13,"Dallas Cowboys",DAL,"DST13","-","190","314","269.5","31.1","-"
"319",13,"Dont'e Thornton Jr.",LV,"WR119","22","169","365","247.9","57.4","-"
"320",13,"Seattle Seahawks",SEA,"DST14","-","172","374","285.3","51.2","-"
"321",13,"Justin Tucker",FA,"K14","35","200","397","276.2","44.7","-"
"322",13,"Cameron Dicker",LAC,"K15","25","186","343","277.8","37.9","-"
"323",13,"Jason Sanders",MIA,"K16","29","208","345","288.8","31.1","-"
"324",13,"Wil Lutz",DEN,"K17","30","219","366","279.8","43.4","-"
"325",13,"Houston Texans",HOU,"DST15","-","187","424","292.8","47.4","-"
"326",13,"Alexander Mattison",MIA,"RB91","26","248","393","317.2","42.5","-"
"327",13,"Chicago Bears",CHI,"DST16","-","161","377","273.7","44.9","-"
"328",13,"Jahan Dotson",PHI,"WR120","25","238","357","287.0","33.3","-"
"329",13,"Jaylin Lane",WAS,"WR121","23","199","361","264.9","46.2","-"
"330",13,"Jake Elliott",PHI,"K18","30","191","354","278.1","35.1","-"
"331",13,"Ka'imi Fairbairn",HOU,"K19","31","199","336","268.5","35.0","-"
"332",13,"Sincere McCormick",LV,"RB92","24","216","364","301.0","47.9","-"
"333",13,"John Metchie III",HOU,"WR122","24","237","356","281.9","39.0","-"
"334",13,"Minnesota Vikings",MIN,"DST17","-","184","366","294.6","45.2","-"
"335",13,"Cam Akers",FA,"RB93","25","253","382","296.3","36.6","-"
"336",13,"Los Angeles Chargers",LAC,"DST18","-","196","341","276.5","35.1","-"
"337",13,"Ty Johnson",BUF,"RB94","27","231","355","299.7","34.0","-"
"338",14,"Brandon McManus",GB,"K20","33","211","400","284.1","45.7","-"
"339",14,"Chimere Dike",TEN,"WR123","23","174","352","260.1","56.4","-"
"340",14,"Curtis Samuel",BUF,"WR124","28","199","377","299.4","47.1","-"
"341",14,"Buffalo Bills",BUF,"DST19","-","219","325","264.7","29.9","-"
"342",14,"Greg Zuerlein",FA,"K21","37","222","384","294.3","43.2","-"
"343",14,"Demarcus Robinson",SF,"WR125","30","206","395","313.7","60.3","-"
"344",14,"Erick All Jr.",CIN,"TE46","24","180","374","284.8","56.6","-"
"345",14,"Dustin Hopkins",CLE,"K22","34","215","388","299.7","43.0","-"
"346",14,"Zamir White",LV,"RB95","25","216","358","320.9","36.4","-"
"347",14,"Detroit Lions",DET,"DST20","-","198","375","265.3","42.8","-"
"348",14,"Gus Edwards",FA,"RB96","30","200","387","306.1","55.2","-"
"349",14,"New York Jets",NYJ,"DST21","-","168","347","269.3","40.9","-"
"350",14,"Green Bay Packers",GB,"DST22","-","200","333","285.1","32.7","-"
"351",14,"Jacory Croskey-Merritt",WAS,"RB97","24","198","357","285.5","41.6","-"
"352",14,"Dawson Knox",BUF,"TE47","28","218","348","299.1","42.3","-"
"353",14,"Will Howard",PIT,"QB40","23","199","361","272.9","44.4","-"
"354",14,"Mason Rudolph",PIT,"QB41","29","218","385","300.1","60.9","-"
"355",14,"Noah Brown",WAS,"WR126","29","236","399","300.6","52.6","-"
"356",14,"LeQuint Allen Jr.",JAC,"RB98","20","230","357","300.9","35.3","-"
"357",14,"San Francisco 49ers",SF,"DST23","-","155","311","261.0","43.3","-"
"358",14,"Ty Chandler",MIN,"RB99","27","261","383","315.9","34.8","-"
"359",14,"Jalin Hyatt",NYG,"WR127","23","239","367","295.1","30.7","-"
"360",14,"Jake Bates",DET,"K23","26","202","371","287.8","51.4","-"
"361",14,"Jason Myers",SEA,"K24","34","222","386","303.4","40.7","-"
"362",14,"Cairo Santos",CHI,"K25","33","218","404","306.1","52.1","-"
"363",14,"Aidan O'Connell",LV,"QB42","26","235","426","303.5","62.1","-"
"364",14,"Jalen Nailor",MIN,"WR128","26","236","408","307.8","56.0","-"
"365",14,"Las Vegas Raiders",LV,"DST24","-","214","379","298.9","48.9","-"
"366",14,"Cade Stover",HOU,"TE48","24","257","386","303.0","40.6","-"
"367",14,"Tennessee Titans",TEN,"DST25","-","201","412","306.9","68.0","-"
"368",14,"AJ Barner",SEA,"TE49","23","231","388","308.2","47.5","-"
"369",14,"Chase McLaughlin",TB,"K26","29","206","372","293.2","50.2","-"
"370",14,"A.J. Dillon",PHI,"RB100","27","265","374","320.8","39.2","-"
"371",14,"Jonathan Mingo",DAL,"WR129","24","249","367","309.8","40.1","-"
"372",14,"New York Giants",NYG,"DST26","-","206","411","309.9","64.5","-"
"373",14,"Cleveland Browns",CLE,"DST27","-","160","330","278.6","50.7","-"
"374",14,"Ricky White III",SEA,"WR130","23","238","371","298.3","51.1","-"
"375",14,"Devontez Walker",BAL,"WR131","23","274","375","325.7","28.6","-"
"376",14,"Dillon Gabriel",CLE,"QB43","24","234","400","300.2","54.8","-"
"377",14,"Joe Flacco",CLE,"QB44","40","242","367","300.7","46.8","-"
"378",14,"Chris Rodriguez Jr.",WAS,"RB101","25","281","418","329.0","38.6","-"
"379",14,"Raheim Sanders",LAC,"RB102","22","244","387","304.9","46.5","-"
"380",14,"Luke Schoonmaker",DAL,"TE50","26","274","380","320.0","33.5","-"
"381",14,"Darnell Washington",PIT,"TE51","23","264","374","320.4","37.4","-"
"382",14,"Deshaun Watson",CLE,"QB45","29","244","420","321.6","58.6","-"
"383",14,"KaVontae Turpin",DAL,"WR132","28","207","415","291.6","65.3","-"
"384",14,"Tim Patrick",DET,"WR133","31","193","398","302.8","79.1","-"
"385",14,"Ray-Ray McCloud III",ATL,"WR134","28","226","372","319.2","51.9","-"
"386",14,"Tampa Bay Buccaneers",TB,"DST28","-","189","329","286.6","47.4","-"
"387",14,"Eddy Pineiro",FA,"K27","29","220","399","322.0","58.2","-"
"388",14,"Joe Milton III",DAL,"QB46","25","232","393","322.9","57.9","-"
"389",14,"Spencer Rattler",NO,"QB47","24","268","382","309.6","39.9","-"
"390",14,"Treylon Burks",TEN,"WR135","25","249","392","325.3","46.0","-"
"391",14,"Emanuel Wilson",GB,"RB103","26","233","438","331.9","54.6","-"
"392",14,"Foster Moreau",NO,"TE52","28","261","408","347.1","46.2","-"
"393",15,"Jacob Cowing",SF,"WR136","24","260","377","338.6","42.7","-"
"394",15,"Malik Willis",GB,"QB48","26","244","390","309.0","46.8","-"
"395",15,"Kenny Pickett",CLE,"QB49","26","256","433","352.1","48.8","-"
"396",15,"Greg Dortch",ARI,"WR137","26","271","429","354.6","49.4","-"
"397",15,"Mac Jones",SF,"QB50","26","265","419","318.5","60.2","-"
"398",15,"KeAndre Lambert-Smith",LAC,"WR138","23","269","409","328.0","49.5","-"
"399",15,"Luke Lachey",HOU,"TE53","23","260","373","314.1","47.7","-"
"400",15,"Player Name",FA,"WR139","-","1","386","129.3","181.5","-"
"401",15,"Mitchell Evans",CAR,"TE54","22","231","436","322.1","70.0","-"
"402",15,"Kendrick Bourne",NE,"WR140","29","251","446","352.6","56.1","-"
"403",15,"Sam Howell",MIN,"QB51","24","269","422","340.3","61.1","-"
"404",15,"Jeremy Ruckert",NYJ,"TE55","24","250","416","355.3","46.1","-"
"405",15,"Austin Hooper",NE,"TE56","30","294","412","355.7","42.0","-"
"406",15,"Riley Leonard",IND,"QB52","22","268","413","328.7","54.1","-"
"407",15,"Arian Smith",NYJ,"WR141","23","238","411","331.3","61.1","-"
"408",15,"Donovan Edwards",NYJ,"RB104","22","263","412","331.7","59.1","-"
"409",15,"Kyle McCord",PHI,"QB53","22","265","399","332.1","47.2","-"
"410",15,"Chris Brooks",GB,"RB105","25","294","441","348.4","54.7","-"
"411",15,"Jordan Watkins",SF,"WR142","23","225","366","288.4","46.1","-"
"412",15,"Trey Sermon",PIT,"RB106","26","299","428","354.5","40.1","-"
"413",15,"Indianapolis Colts",IND,"DST29","-","257","354","320.7","33.5","-"
"414",15,"Cincinnati Bengals",CIN,"DST30","-","227","409","320.8","71.9","-"
"415",15,"Dylan Laube",LV,"RB107","25","307","414","358.8","39.7","-"
"416",15,"Daniel Bellinger",NYG,"TE57","24","299","416","359.4","38.6","-"
"417",15,"Jake Browning",CIN,"QB54","29","268","433","348.0","63.3","-"
"418",15,"Ameer Abdullah",FA,"RB108","31","290","430","348.0","51.0","-"
"419",15,"Gardner Minshew II",KC,"QB55","29","266","434","335.5","68.0","-"
"420",15,"Phil Mafah",DAL,"RB109","22","192","397","315.2","70.1","-"
"421",15,"Kalel Mullings",TEN,"RB110","22","236","410","316.8","64.5","-"
"422",15,"Jimmy Horn Jr.",CAR,"WR143","22","212","405","318.0","77.2","-"
"423",15,"Trey Palmer",TB,"WR144","24","278","447","360.6","57.8","-"
"424",15,"Nick Nash",ATL,"WR145","24","257","423","344.8","61.0","-"
"425",15,"Greg Dulcich",NYG,"TE58","25","265","403","344.8","45.6","-"
"426",15,"Jacksonville Jaguars",JAC,"DST31","-","279","352","322.6","25.0","-"
"427",15,"Matt Prater",FA,"K28","40","253","380","326.8","46.7","-"
"428",15,"Josh Reynolds",NYJ,"WR146","30","181","436","298.8","90.7","-"
"429",15,"Jacoby Brissett",ARI,"QB56","32","256","439","331.0","69.3","-"
"430",15,"Thomas Fidone II",NYG,"TE59","22","258","407","334.6","58.3","-"
"431",15,"Carolina Panthers",CAR,"DST32","-","235","410","337.2","60.2","-"
"432",15,"Cooper Rush",BAL,"QB57","31","309","438","373.6","45.7","-"
